Stock,Stock Name,Stock Long Name,Board,Sector
"=""509970""",AIRASIAC70,AIRASIAC70: CW AIRASIA GROUP BERHAD (AM),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509971""",AIRASIAC71,AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509972""",AIRASIAC72,AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509973""",AIRASIAC73,AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509974""",AIRASIAC74,AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509975""",AIRASIAC75,AIRASIAC75: CW AIRASIA GROUP BERHAD (AM),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5100""",BPPLAS,BP PLASTICS HOLDING BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5101""",EVERGRN,EVERGREEN FIBREBOARD BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5102""",GCB,GUAN CHONG BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5104""",CNI,CNI HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5105""",CANONE,CAN-ONE BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5106""",AXREIT,AXIS REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5107""",IQGROUP,IQ GROUP HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5108""",ICAP,ICAPITAL.BIZ BHD,MAIN MARKET,CLOSED END FUND
"=""5109""",YTLREIT,YTL HOSPITALITY REIT,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5110""",UOAREIT,UOA REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5111""",TWRREIT,TOWER REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5112""",THPLANT,TH PLANTATIONS BHD,MAIN MARKET,PLANTATION
"=""5113""",RSAWIT,RIMBUNAN SAWIT BHD,MAIN MARKET,PLANTATION
