Stock,Stock Name,Stock Long Name,Board,Sector
"=""5819CN""",HLBANK-CN,HLBANK-CN: CW HONG LEONG BANK BERHAD (CIMB),STRCWARR,FINANCIAL SERVICES
"=""5819CO""",HLBANK-CO,HLBANK-CO: CW HONG LEONG BANK BERHAD (RHB),STRCWARR,FINANCIAL SERVICES
"=""5827""",OIB,ORIENTAL INTEREST BHD,MAIN MARKET,PROPERTY
"=""5835""",DOLMITE,DOLOMITE CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5843""",KPS,KUMPULAN PERANGSANG SELANGOR,MAIN MARKET,UTILITIES
"=""5878""",KPJ,KPJ HEALTHCARE BHD,MAIN MARKET,HEALTH CARE
"=""5878CQ""",KPJ-CQ,KPJ-CQ: CW KPJ HEALTHCARE BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""5878CR""",KPJ-CR,KPJ-CR: CW KPJ HEALTHCARE BERHAD (RHB),STRCWARR,HEALTH CARE
"=""5878CS""",KPJ-CS,KPJ-CS: CW KPJ HEALTHCARE BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""5878WB""",KPJ-WB,KPJ HEALTHCARE BERHAD -WARRANTS B 14/19,MAIN MARKET,HEALTH CARE
"=""5886""",MBG,MINTYE BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5908""",DKSH,DKSH HOLDINGS(M)BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5916""",MSC,MALAYSIA SMELTING CORPORATION,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5924""",MTDACPI,MTD ACPI ENGINEERING BHD,MAIN MARKET,CONSTRUCTION
"=""5932""",BPURI,BINA PURI HOLDINGS BHD,MAIN MARKET,CONSTRUCTION
"=""5959""",AMVERTON,AMVERTON BERHAD,MAIN MARKET,PROPERTY
"=""5983""",MBMR,MBM RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6009""",P&O,PACIFIC & ORIENT BHD,MAIN MARKET,FINANCIAL SERVICES
"=""6012""",MAXIS,MAXIS BERHAD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""6012C7""",MAXIS-C7,MAXIS-C7: CW MAXIS BERHAD (CIMB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6012C8""",MAXIS-C8,MAXIS-C8: CW MAXIS BERHAD (MIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6012C9""",MAXIS-C9,MAXIS-C9: CW MAXIS BERHAD (KIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6017""",SHL,SHL CONSOLIDATED BHD,MAIN MARKET,PROPERTY
"=""6025""",BJMEDIA,BERJAYA MEDIA BHD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""6033""",PETGAS,PETRONAS GAS BHD,MAIN MARKET,UTILITIES
"=""6033CR""",PETGAS-CR,PETGAS-CR: CW PETRONAS GAS BERHAD (RHB),STRCWARR,UTILITIES
"=""6033CS""",PETGAS-CS,PETGAS-CS: CW PETRONAS GAS BERHAD (CIMB),STRCWARR,UTILITIES
"=""6041""",FARLIM,FARLIM GROUP (M) BHD,MAIN MARKET,PROPERTY
"=""6068""",PCCS,PCCS GROUP BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6068WA""",PCCS-WA,PCCS GROUP BERHAD - WARRANTS 2017 / 2022,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6076""",ENCORP,ENCORP BHD,MAIN MARKET,PROPERTY
"=""6084""",STAR,STAR MEDIA GROUP BERHAD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""6114""",MKH,MKH BERHAD,MAIN MARKET,PROPERTY
"=""6139""",TAKAFUL,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,MAIN MARKET,FINANCIAL SERVICES
"=""6149""",METROD,METROD HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6173""",BDB,BINA DARULAMAN BHD,MAIN MARKET,PROPERTY
"=""6181""",MALTON,MALTON BHD,MAIN MARKET,PROPERTY
"=""6203""",KHEESAN,KHEE SAN BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6211""",KIALIM,KIA LIM BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6238""",HSL,HOCK SENG LEE BHD,MAIN MARKET,CONSTRUCTION
"=""6254""",PDZ,PDZ HOLDINGS BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""6254WB""",PDZ-WB,PDZ HOLDINGS BHD - WARRANTS B 2018/2023,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""6262""",INNO,INNOPRISE PLANTATIONS BERHAD,MAIN MARKET,PLANTATION
"=""6297""",BOXPAK,BOX-PAK (MALAYSIA) BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6297WA""",BOXPAK-WA,BOX-PAK (MALAYSIA) BERHAD - WARRANTS 2017/2022,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6351""",AMWAY,AMWAY (M) HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6378""",WMG,WMG HOLDINGS BERHAD,MAIN MARKET,PROPERTY
"=""6399""",ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""639910""",ASTRO-C10,ASTRO-C10: CW ASTRO MALAYSIA HOLDINGS BERHAD (RHB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""639911""",ASTRO-C11,ASTRO-C11: CW ASTRO MALAYSIA HOLDINGS BERHAD (KIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""639912""",ASTRO-C12,ASTRO-C12: CW ASTRO MALAYSIA HOLDINGS BERHAD (MACQ),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6399C8""",ASTRO-C8,ASTRO-C8: CW ASTRO MALAYSIA HOLDINGS BERHAD (MACQ),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6399C9""",ASTRO-C9,ASTRO-C9: CW ASTRO MALAYSIA HOLDINGS BERHAD (AM),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6432""",APOLLO,APOLLO FOOD HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6459""",MNRB,MNRB HOLDINGS BHD,MAIN MARKET,FINANCIAL SERVICES
"=""6483""",KENANGA,KENANGA INVESTMENT BANK BERHAD,MAIN MARKET,FINANCIAL SERVICES
"=""6491""",KFIMA,KUMPULAN FIMA BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6521""",SURIA,SURIA CAPITAL HOLDINGS BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""6548""",MPCORP,MALAYSIA PACIFIC CORP BHD,MAIN MARKET,PROPERTY
"=""6556""",ANNJOO,ANN JOO RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6556CP""",ANNJOO-CP,ANNJOO-CP: CW ANN JOO RESOURCES BERHAD (MACQ),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""6556PA""",ANNJOO-PA,ANN JOO RESOURCES BERHAD-REDEEMABLE CONVERTIBLE CUMULATIVE PREFERENCE SHARES 2016/2024,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6572""",KWANTAS,KWANTAS CORPORATION BHD,MAIN MARKET,PLANTATION
"=""6599""",AEON,AEON CO. (M) BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6599CM""",AEON-CM,AEON-CM: CW AEON CO (M) BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""6599CN""",AEON-CN,AEON-CN: CW AEON CO. (M) BERHAD (MIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""6599CO""",AEON-CO,AEON-CO: CW AEON CO. (M) BERHAD (CIMB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""6599CP""",AEON-CP,AEON-CP: CW AEON CO (M) BERHAD (RHB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""6599CQ""",AEON-CQ,AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""6602""",BCB,BCB BHD,MAIN MARKET,PROPERTY
"=""6637""",PNEPCB,PNE PCB BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6645""",LITRAK,LINGKARAN TRANS KOTA HOLDINGS,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""6718""",CRESNDO,CRESCENDO CORPORATION BHD,MAIN MARKET,PROPERTY
"=""6742""",YTLPOWR,YTL POWER INTERNATIONAL BHD,MAIN MARKET,UTILITIES
"=""6742C3""",YTLPOWR-C3,YTLPOWR-C3: CW YTL POWER INTERNATIONAL BERHAD (MACQ),STRCWARR,UTILITIES
"=""6742C4""",YTLPOWR-C4,YTLPOWR-C4: CW YTL POWER INTERNATIONAL BERHAD (AM),STRCWARR,UTILITIES
"=""6742C5""",YTLPOWR-C5,YTLPOWR-C5: CW YTL POWER INTERNATIONAL BERHAD (CIMB),STRCWARR,UTILITIES
"=""6769""",JKGLAND,JKG LAND BERHAD,MAIN MARKET,PROPERTY
"=""6807""",PUNCAK,PUNCAK NIAGA HOLDINGS BHD,MAIN MARKET,CONSTRUCTION
"=""6815""",EUPE,EUPE CORPORATION BHD,MAIN MARKET,PROPERTY
"=""6874""",KUB,KUB MALAYSIA BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6888""",AXIATA,AXIATA GROUP BERHAD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""688827""",AXIATA-C27,AXIATA-C27: CW AXIATA GROUP BERHAD (AM),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688828""",AXIATA-C28,AXIATA-C28: CW AXIATA GROUP BERHAD (CIMB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688829""",AXIATA-C29,AXIATA-C29: CW AXIATA GROUP BERHAD (KIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688830""",AXIATA-C30,AXIATA-C30: CW AXIATA GROUP BERHAD (MIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688831""",AXIATA-C31,AXIATA-C31: CW AXIATA GROUP BERHAD (AM),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688832""",AXIATA-C32,AXIATA-C32: CW AXIATA GROUP BERHAD (RHB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688833""",AXIATA-C33,AXIATA-C33: CW AXIATA GROUP BERHAD (MACQ),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688834""",AXIATA-C34,AXIATA-C34: CW AXIATA GROUP BERHAD (CIMB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688835""",AXIATA-C35,AXIATA-C35: CW AXIATA GROUP BERHAD (KIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""688836""",AXIATA-C36,AXIATA-C36: CW AXIATA GROUP BERHAD (RHB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6904""",SUBUR,SUBUR TIASA HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6912""",PASDEC,PASDEC HOLDINGS BHD,MAIN MARKET,PROPERTY
"=""6912WA""",PASDEC-WA,PASDEC HOLDINGS BERHAD - WARRANTS A 2018/2023,MAIN MARKET,PROPERTY
"=""6939""",FIAMMA,FIAMMA HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""6947""",DIGI,DIGI.COM BHD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""694724""",DIGI-C24,DIGI-C24: CW DIGI.COM BERHAD (CIMB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""694725""",DIGI-C25,DIGI-C25: CW DIGI.COM BERHAD (MIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""694726""",DIGI-C26,DIGI-C26: CW DIGI.COM BERHAD (RHB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""694727""",DIGI-C27,DIGI-C27: CW DIGI.COM BERHAD (KIBB),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""694728""",DIGI-C28,DIGI-C28: CW DIGI.COM BERHAD (MACQ),STRCWARR,TELECOMMUNICATIONS & MEDIA
"=""6963""",VS,V.S INDUSTRY BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6963C3""",VS-C3,VS-C3: CW V.S. INDUSTRY BERHAD (AM),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""6963C4""",VS-C4,VS-C4: CW V.S. INDUSTRY BERHAD (MACQ),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""6963C5""",VS-C5,VS-C5: CW V.S. INDUSTRY BERHAD (MIBB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""6963C6""",VS-C6,VS-C6: CW V.S. INDUSTRY BERHAD (RHB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""6963C7""",VS-C7,VS-C7: CW V.S. INDUSTRY BERHAD (KIBB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""6963WA""",VS-WA,V.S. INDUSTRY BERHAD - WARRANTS A 2016/2019,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6971""",KOBAY,KOBAY TECHNOLOGY BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6998""",BINTAI,BINTAI KINDEN CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""6998WA""",BINTAI-WA,BINTAI KINDEN CORPORATION BERHAD - WARRANTS  A  2015/2020,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7003""",Y&G,Y&G CORPORATION BHD,MAIN MARKET,PROPERTY
"=""7003WA""",Y&G-WA,Y&G CORPORATION BHD - WARRANTS A 14/19,MAIN MARKET,PROPERTY
"=""7004""",MCEHLDG,MCE HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7005""",BIG,B.I.G. INDUSTRIES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7006""",LATITUD,LATITUDE TREE HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7007""",ARK,ARK RESOURCES HOLDINGS BERHAD,MAIN MARKET,PROPERTY
"=""7007WB""",ARK-WB,ARK RESOURCES HOLDINGS BERHAD - WARRANTS B 2011/2021,MAIN MARKET,PROPERTY
"=""7010""",HOOVER,GRAND HOOVER BHD,MAIN MARKET,PROPERTY
"=""7013""",HUBLINE,HUBLINE BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7013WA""",HUBLINE-WA,HUBLINE BHD- WARRANT 2009/2019,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7013WB""",HUBLINE-WB,HUBLINE BERHAD - WARRANTS B 2015/2020,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7013WC""",HUBLINE-WC,HUBLINE BERHAD - WARRANTS C 2018/2023,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7014""",YLI,YLI HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7016""",CHUAN,CHUAN HUAT RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7017""",KOMARK,KOMARKCORP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7017WB""",KOMARK-WB,KOMARKCORP BERHAD-WARRANTS B 2015/2020,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7018""",CME,CME GROUP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7018LA""",CME-LA,CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,LOANS,INDUSTRIAL PRODUCTS & SERVICES
"=""7018WA""",CME-WA,CME GROUP BERHAD - WARRANTS 2018/2028,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7020""",YKGI,YKGI HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7020WB""",YKGI-WB,YKGI HOLDINGS BHD - WB 13/20,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7022""",GTRONIC,GLOBETRONICS TECHNOLOGY BHD,MAIN MARKET,TECHNOLOGY
"=""7022CR""",GTRONIC-CR,GTRONIC-CR: CW GLOBETRONICS TECHNOLOGY BERHAD (MIBB),STRCWARR,TECHNOLOGY
"=""7022CS""",GTRONIC-CS,GTRONIC-CS: CW GLOBETRONICS TECHNOLOGY BERHAD (MACQ),STRCWARR,TECHNOLOGY
"=""7022CT""",GTRONIC-CT,GTRONIC-CT: CW GLOBETRONICS TECHNOLOGY BERHAD (KIBB),STRCWARR,TECHNOLOGY
"=""7022CU""",GTRONIC-CU,GTRONIC-CU: CW GLOBETRONICS TECHNOLOGY BERHAD (RHB),STRCWARR,TECHNOLOGY
"=""7022CV""",GTRONIC-CV,GTRONIC-CV: CW GLOBETRONICS TECHNOLOGY BERHAD (RHB),STRCWARR,TECHNOLOGY
"=""7022CW""",GTRONIC-CW,GTRONIC-CW: CW GLOBETRONICS TECHNOLOGY BERHAD (MACQ),STRCWARR,TECHNOLOGY
"=""7025""",WOODLAN,WOODLANDOR HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7028""",ZECON,ZECON BHD,MAIN MARKET,CONSTRUCTION
"=""7029""",MASTER,MASTER-PACK GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7031""",AMTEL,AMTEL HOLDINGS BHD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""7033""",HIGHTEC,KUMPULAN H&L HIGH-TECH BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7034""",TGUAN,THONG GUAN INDUSTRIES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7034LA""",TGUAN-LA,THONG GUAN INDUSTRIES BERHAD - ICULS 2014/2019,LOANS,INDUSTRIAL PRODUCTS & SERVICES
"=""7034WA""",TGUAN-WA,THONG GUAN INDUSTRIES BERHAD - WARRANTS A 2014/2019,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7035""",CCK,CCK CONSOLIDATED HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7035WA""",CCK-WA,CCK CONSOLIDATED HOLDINGS BERHAD - WARRANTS 2018/2023,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7036""",BORNOIL,BORNEO OIL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7036WC""",BORNOIL-WC,BORNEO OIL BERHAD - WARRANTS C 2015/2025,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7036WD""",BORNOIL-WD,BORNEO OIL BERHAD - WARRANTS D 2017/2027,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7043""",JMR,JMR CONGLOMERATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7045""",SCOMIES,SCOMI ENERGY SERVICES BHD,MAIN MARKET,ENERGY
"=""7047""",FAJAR,FAJARBARU BUILDER GRP BHD,MAIN MARKET,CONSTRUCTION
"=""7047WB""",FAJAR-WB,FAJARBARU BUILDER GROUP BERHAD - WARRANTS B 14/19,MAIN MARKET,CONSTRUCTION
"=""7048""",ATLAN,ATLAN HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7050""",WONG,WONG ENGINEERING CORPORATION,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7051""",AMTEK,AMTEK HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7052""",PADINI,PADINI HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7052CU""",PADINI-CU,PADINI-CU: CW PADINI HOLDINGS BERHAD (MIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""7052CV""",PADINI-CV,PADINI-CV: CW PADINI HOLDINGS BERHAD (RHB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""7052CW""",PADINI-CW,PADINI-CW: CW PADINI HOLDINGS BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""7053""",SEEHUP,SEE HUP CONSOLIDATED BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7054""",AASIA,ASTRAL ASIA BHD,MAIN MARKET,PLANTATION
"=""7055""",PLB,PLB ENGINEERING BHD,MAIN MARKET,PROPERTY
"=""7060""",NHFATT,NEW HOONG FATT HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7062""",KHIND,KHIND HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7066""",YONGTAI,YONG TAI BHD,MAIN MARKET,PROPERTY
"=""7066PA""",YONGTAI-PA,YONG TAI BERHAD - ICPS 2016/2026,MAIN MARKET,PROPERTY
"=""7066WA""",YONGTAI-WA,YONG TAI BERHAD - WARRANTS 2015/2020,MAIN MARKET,PROPERTY
"=""7070""",VIZIONE,VIZIONE HOLDINGS BERHAD,MAIN MARKET,CONSTRUCTION
"=""7070LA""",VIZIONE-LA,VIZIONE HOLDINGS BERHAD-ICULS 2011/2021,LOANS,CONSTRUCTION
"=""7070WC""",VIZIONE-WC,VIZIONE HOLDINGS BERHAD-WARRANTS 2017/2022,MAIN MARKET,CONSTRUCTION
"=""7071""",OCR,OCR GROUP BERHAD,MAIN MARKET,CONSTRUCTION
"=""7071PA""",OCR-PA,OCR GROUP BERHAD - IRREDEEMABLE CONVERTIBLE PREFERENCE SHARE 2016/2021,MAIN MARKET,CONSTRUCTION
"=""7071WC""",OCR-WC,OCR GROUP BERHAD - WARRANTS 2016/2021,MAIN MARKET,CONSTRUCTION
"=""7073""",SEACERA,SEACERA GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7073WB""",SEACERA-WB,SEACERA GROUP BERHAD-WARRANTS B 2014/2019,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7073WC""",SEACERA-WC,SEACERA GROUP BERHAD - WARRANTS C,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7076""",CBIP,CB INDUSTRIAL PRODUCT HOLDING,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7076WA""",CBIP-WA,CB INDUSTRIAL PRODUCT HOLDING BERHAD-WA 14/19,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7077""",GSB,GSB GROUP BHD,MAIN MARKET,PROPERTY
"=""7078""",AZRB,AHMAD ZAKI RESOURCES BHD,MAIN MARKET,CONSTRUCTION
"=""7078WA""",AZRB-WA,AHMAD ZAKI RESOURCES BERHAD- WA 14/24,MAIN MARKET,CONSTRUCTION
"=""7079""",TIGER,TIGER SYNERGY BERHAD,MAIN MARKET,PROPERTY
"=""7079WC""",TIGER-WC,TIGER SYNERGY BERHAD - WARRANTS 2016-2021,MAIN MARKET,PROPERTY
"=""7080""",PERMAJU,PERMAJU INDUSTRIES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7081""",PHARMA,PHARMANIAGA BHD,MAIN MARKET,HEALTH CARE
"=""7082""",SYF,SYF RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7082WB""",SYF-WB,SYF RESOURCES BERHAD-WARRANTS 2014/2019,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7083""",ANALABS,ANALABS RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7084""",QL,QL RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7084CL""",QL-CL,QL-CL: CW QL RESOURCES BERHAD (RHB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""7084CM""",QL-CM,QL-CM: CW QL RESOURCES BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""7085""",LTKM,LTKM BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7086""",ABLEGRP,ABLEGROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7087""",MAGNI,MAGNI-TECH INDUSTRIES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7088""",POHUAT,POH HUAT RESOURCES HOLDINGS,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7088WB""",POHUAT-WB,POH HUAT RESOURCES HOLDINGS BERHAD - WARRANTS 15/20,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7089""",LIIHEN,LII HEN INDUSTRIES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7090""",AHEALTH,APEX HEALTHCARE BHD,MAIN MARKET,HEALTH CARE
"=""7091""",UNIMECH,UNIMECH GROUP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7094""",EUROSP,EUROSPAN HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7095""",PIE,P.I.E. INDUSTRIAL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7096""",GPA,GPA HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7096WA""",GPA-WA,GPA HOLDINGS BERHAD - WARRANTS 2015/2025,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7097""",TAWIN,TA WIN HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7099""",ATTA,ATTA GLOBAL GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7099LA""",ATTA-LA,ATTA GLOBAL GROUP BERHAD - ICULS 12/22,LOANS,INDUSTRIAL PRODUCTS & SERVICES
"=""7099PA""",ATTA-PA,ATTA GLOBAL GROUP BERHAD - IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 2017/2022,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7099WB""",ATTA-WB,ATTA GLOBAL GROUP BERHAD-WARRANTS 12/22,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7099WC""",ATTA-WC,ATTA GLOBAL GROUP BERHAD - WARRANTS  C  2014/2024,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7100""",UCHITEC,UCHI TECHNOLOGIES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7100CD""",UCHITEC-CD,UCHITEC-CD: CW UCHI TECHNOLOGIES BERHAD (AM),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""7100CE""",UCHITEC-CE,UCHITEC-CE: CW UCHI TECHNOLOGIES BERHAD (RHB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""7103""",SPRITZER,SPRITZER BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7105""",HCK,HCK CAPITAL GROUP BERHAD,MAIN MARKET,PROPERTY
"=""7105WA""",HCK-WA,HCK CAPITAL GROUP BERHAD - WARRANTS,MAIN MARKET,PROPERTY
"=""7106""",SUPERMX,SUPERMAX CORPORATION BHD,MAIN MARKET,HEALTH CARE
